,comune,provincia,statale non statale,omr,sistema museale territoriale,sistema museale urbano,sistema museale tematico,casa museo,q1.1 sa denominazione museo istituto,q1.2 sa indirizzo museo istituto,q1.3 sa localita museo istituto,q1.4 sa ubicazione/edificio museo istituto,cap,q1.8 sa telefono museo istituto,q1.9 sa fax museo istituto,q1.10 sa email museo istituto,q1.11 sa sito web museo istituto,latitudine,longitudine
128,palestrina,roma,non mibact,,,,,,museo della resistenza e degli undici martiri,via vigesimo,vigesimo via pedemontana,,36.0,069573176 0695302272 271,,infocomune.palestrina.rm.it,www.comune.palestrina.rm.it,41.8465578,12.8615344
129,roma,roma,mibact,,,,,,tomba di cecilia metella,via appia antica 161,,tomba di cecilia metella nel castrum caetani,179.0,67844271,678442730,,htpp//www.archeoroma.beniculturali.it,41.85211279999999,12.5209185
130,roma,roma,non mibact,,,,,,museo delle origini,piazzale a. moro 5,roma,facolta di lettere,185.0,649913924,649913653,musorirmcisadu.let.uniroma1.it,www.musei.uniroma1.it/museodelleorigini/index.html,41.8573198,12.5015354
131,roma,roma,non mibact,,,,,,mausoleo delle fosse ardeatine,via ardeatina nr. 174,roma,,179.0,65136742,65136742,mausoleofosseardeatineonorcaduti.difesa.it,,41.8583554,12.5089148
132,capranica prenestina,roma,non mibact,omr,sistema pre.gio,,resina,,museo civico naturalistico dei monti prenestini,piazza aristide frezza 6,,palazzo barberini,30.0,69584126,69584337,museocomunecapranica.it,www.comunecapranica.it,41.8621223,12.9521942
133,roma,roma,non mibact,omr,,sistema musei in comune,,,musei capitolini centrale montemartini,via ostiense 106,ex centrale termoelettrica giovanni montemartini,complesso industriale,154.0,65748042,65754207,info.centrale.montemartinicomune.roma.it,www.centralemontemartini.org,41.8670298,12.478986500000001
134,roma,roma,non mibact,,,sistema musei in comune,,,museo delle mura di roma,via di porta san sebastiano 18,,porta s. sebastiano,179.0,670475284,670475284,museomurazetema.it,www.museiincomune.it,41.8734634,12.501408099999999
135,roma,roma,mibact,,,,,,museo della via ostiense,via r. persichetti 3,porta san paolo,,154.0,,,,,41.8767871,12.480911099999998
136,roma,roma,mibact,,,,,,terme di caracalla,via delle terme di caracalla 52,,,153.0,657174520,657174530,ssba rm.termecaracallabeniculturali.it,www.archeoroma.it,41.8800969,12.496205900000001
137,roma,roma,non mibact,,,,,,museo storico didattico di giochi e giocattoli del 900 la memoria giocosa,via vincenzo coranelli 26/a,quartiere pigneto,,176.0,621700782,621700782,memoriagiocosalibero.it,,41.8851401,12.5336038
138,roma,roma,mibact,,,,,,foro romano e palatino,largo romolo e remo,roma,,185.0,6699841,66787689,ssba rmbeniculturali.it,www.archeoroma.beniculturali.it,41.885739799999996,12.4848582
139,roma,roma,non mibact,,,,,,case romane del celio,clivo di scauro,,sottostanti la basilica dei ss. giovanni e paolo,184.0,06 70454544,06 77201975,infocaseromane.it,www.caseromane.it,41.8864735,12.490630099999999
140,roma,roma,non mibact,,,,,,mausoleo ossario garibaldino,via garibaldi 29/e,,,153.0,667103407,667103833,francesca.bertozzicomune.roma.it,,41.8881886,12.4656043
141,roma,roma,non mibact,,,,,,museo storico della liberazione,via tasso 145,,,185.0,67003866,677203514,infomuseoliberazione.it,,41.8887375,12.5064312
142,roma,roma,non mibact,,,,,,museo storico della fanteria,piazza s. croce in gerusalemme 9,,,185.0,67027971,67027971,urppersomil.difesa.it museo fanteriaesercito.difesa.it,,41.88891339999999,12.5141899
143,roma,roma,mibact,,,,,,museo nazionale degli strumenti musicali,piazza santa croce in gerusalemme 9/a,,,185.0,67014796,67029862,,,41.88891339999999,12.5141899
144,roma,roma,non mibact,omr,,,,,museo di villa vecchia in villa doria pamphilj,via aurelia antica 183,,villa doria pamphilj,183.0,06 39376616,06 39380994,,www.060608.it/it/cultura e svago/beni culturali/musei/museo di villa vecchia villa doria pamphilj.html,41.8890951,12.4450986
145,roma,roma,non mibact,,,,,,museo storico granatieri di sardegna,piazza santa croce in gerusalemme 7,,palazzina,185.0,67028287,,museostoricogranatierigmail.com,,41.889095899999994,12.5155061
146,roma,roma,non mibact,omr,,sistema musei in comune,demos,,museo di roma in trastevere,piazza santegidio 1/b,convento carmelitano di santegidio,,153.0,65899359,65884165,museodiroma.trasteverecomune.roma.it,,41.889860600000006,12.468701800000002
147,roma,roma,mibact,,,,,,anfiteatro flavio colosseo,piazza del colosseo,,,184.0,677400920,677400930,ssba rm.colosseobeniculturali.it,http//archeoroma.beniculturali.it,41.8899272,12.4941978
148,roma,roma,non mibact,,,,,,museo di idraulica,via eudossiana 20,roma,facolt di ingeneria universit di roma la sapienza,184.0,644585084,644585094,marco.marchettiuniroma1.it,www.musei.uniroma1.it/informamuseonew.aspid20,41.8927234,12.4926794
149,roma,roma,mibact,,,,,,galleria nazionale darte antica in palazzo corsini,via della lungara 10,,palazzo corsini,165.0,668802323,668133192,sspsae rm.galleriacorsinibeniculturali.it,www.galleriacorsinibeniculturali.it,41.89324179999999,12.4669323
150,roma,roma,non mibact,,,,,,villa farnesina,via della lungara 230,,,165.0,668027268,668027397,farnesinalincei.it lapentalincei.it,www.villafarnesina.it,41.8932984,12.467066099999998
151,roma,roma,non mibact,,,,,,museo tipologico internazionale del presepio angelo stefanucci,via tor de conti 31/a,,c/o chiesa ss.quirico e giulitta,184.0,66796146,669789602,informazionepresepio.it,www.presepio.it,41.8937488,12.4878893
152,roma,roma,non mibact,,,,,,museo centrale del risorgimento,via s. pietro in carcere,,complesso del vittoriano,186.0,66793598,66782572,ist.risorgimentotiscali.it,www.risorgimento.it,41.89375220000001,12.4842507
153,roma,roma,mibact,,,,,x,galleria spada,piazza capo di ferro 13,,palazzo spada,186.0,66861158,66861158,,,41.8943769,12.4718126
154,roma,roma,non mibact,omr,,sistema musei in comune,,,museo dei fori imperiali nei mercati di traiano,via iv novembre 94,,palazzo storico e complesso archeologico,187.0,669941020,669780532,infomercatiditraiano.it,www.mercatiditraiano.it,41.8961387,12.4856164
155,roma,roma,mibact,,,,,,museo nazionale del palazzo di venezia,via del plebiscito 118,rione pigna,palazzo,186.0,669994284,669994394,sspsae rm.mpvbeniculturali.it,www.museopalazzovenezia.beniculturali.it,41.8964079,12.4810964
156,roma,roma,non mibact,omr,,sistema musei in comune,,,museo di scultura antica giovanni barracco,corso vittorio emanuele ii 166a,farnesina ai bauellari,palazzo storico,186.0,668806848,668806848,info.museobarraccocomune.roma.it,www.museobarracco.it,41.896804100000004,12.4727295
157,roma,roma,non mibact,,,,,,galleria doria pamphilj,via del corso 305,rione monti,palazzo doria pamphilj,186.0,66797323,66780939,arti.rmdoriapamphilj.it,www.dopart.it,41.8974917,12.4814574
158,roma,roma,non mibact,omr,,sistema musei in comune,,,museo di roma,piazza s.pantaleo 10,palazzo braschi,palazzo braschi,187.0,667108312,667108303,museodiromacomune.roma.it,www.museodiroma.it,41.8975547,12.4727273
159,roma,roma,non mibact,omr,,,,,museo delle cere,piazza santi apostoli 68a,,,187.0,66796482,66796482,museodellecere.romalice.it,www.museodellecereroma.com,41.8976424,12.4832809
160,roma,roma,non mibact,omr,,,,,museo del teatro argentina,piazza argentina 52,largo di torre argentina,,186.0,667106017,667103833,tania.renzicomune.roma.it,,41.8976915,12.4763656
161,roma,roma,non mibact,,,,,,casino dellaurora,via xxiv maggio 43,roma,palazzo pallavicini,187.0,683467000,683467070,aurorapallavicinisaita.it,www.casinoaurorapallavicini.it,41.8982771,12.488022
162,roma,roma,non mibact,,,,,,museo dellordine dei chierici regolari ministri degli infermi camilliani,piazza della maddalena 53,,,186.0,6899281,689928133,agmicamilliani.org e.martineztiscali.it,www.camilliani.org,41.9001131,12.476685400000001
163,roma,roma,non mibact,,,,,,museo donazione umberto mastroianni,piazza san salvatore in lauro 15,,musei di san salvatore in lauro,186.0,66865493,66892109,redazioneilcigno.org,,41.9008464,12.4693138
164,roma,roma,mibact,,,,,,palazzo altemps,piazza di santapollinare 46,,,186.0,6684851,66897091,ssba rm.palazzoaltempsbeniculturali.it,http//archeoroma.beniculturali.it,41.9012314,12.472857699999999
165,roma,roma,non mibact,,,,,,complesso monumentale s. spirito in saxia,borgo s. spirito 3,,,193.0,668352449,668352470,lancisianaasl rme.it,www.regione.lazio.it/biblioteche/lancisianaroma/,41.901442200000005,12.4614773
166,roma,roma,mibact,,,,,,istituto nazionale per la grafica,via della stamperia 6,,fontana di trevi,187.0,669980238,669921474,in g.ufficiostampabeniculturali.it,www.grafica.beniculturali.it,41.90153970000001,12.4834857
167,roma,roma,non mibact,omr,,sistema musei in comune,,,museo napoleonico,piazza di ponte umberto i 1,,palazzo primoli,186.0,06 68806286,,napoleonicocomune.roma.it,www.museonapoleonico.it,41.9016682,12.4721688
168,roma,roma,mibact,,,,,,museo nazionale romano palazzo massimo alle terme,largo di villa peretti 1,,,185.0,06 48020,06 4815563,,http//archeoroma.beniculturali.it/musei/museo nazionale romano palazzo massimo,41.9017823,12.498107800000001
169,roma,roma,mibact,,,,,x,museo mario praz,via zanardelli 1,,,186.0,06 6861089,06 6861089,museoprazmuseopraz.191.it,www.museopraz.beniculturali.it,41.901886100000006,12.4718246
170,roma,roma,non mibact,,,,,,museo storico della didattica mauro laeng,via milazzo 11 b,roma,facolta scienze della formazione universita roma 3,185.0,657339117,,mus.diduniroma3.it,www.host.uniroma3.it/laboratori/museodidattica,41.9021453,12.5043954
171,roma,roma,mibact,,,,,,museo nazionale di castel santangelo,lungotevere castello,,,193.0,66819111,668191196,sspsae rm.santangelobeniculturali.it,www.castelsantangelo.beniculturali.it,41.9024896,12.4659238
172,roma,roma,mibact,,,,,,galleria nazionale darte antica in palazzo barberini,via quattro fontane 13,,palazzo barberini,184.0,64824184,64880560,spsae rm.gnaabeniculturali.it,http//galleriabarberini.it,41.9025415,12.4897285
173,roma,roma,non mibact,,,,,,museo erbario dipartimento di biologia ambientale,piazzale aldo moro 5,roma,c/o universit di roma sapienza,185.0,649912410,649912409,erbariouniroma1.it,www.musei.uniroma1.it/erbario/index.html,41.9033594,12.515426
174,roma,roma,non mibact,,,,,,museo di paleontologia,piazzale aldo moro 5,citt universitaria,c/o dipartimento di scienze della terra,185.0,649914315,06 4454729,museo.paleouniroma1.it,www.dst.uniroma1.it/musei/museo paleontologia/index.htm,41.9033594,12.515426
175,roma,roma,non mibact,,,,,,museo di fisica,piazzale aldo moro 5,universit di roma la sapienza,universita degli studi la sapienza dipartimento di fisica,185.0,649914334,64957697,fabio.sebastianiroma1.infn.it,www.phys.uniroma1.it/dipweb/museo/home.htm,41.9033594,12.515426
176,roma,roma,non mibact,,,,,,museo di zoologia delluniversita la sapienza,piazzale aldo moro 5,universit di roma la sapienza,citta universitaria,185.0,649914742,64958259,augusto.vignatagliantiuniroma1.it,,41.9033594,12.515426
177,roma,roma,non mibact,,,,,,museo di geologia,piazzale aldo moro 5,universit di roma la sapienza,c/o dipartimento di scienze della terra,185.0,649914825,64463068,museo.geologiauniroma1.it,www.tetide.geo.uniroma1.it/musei/museo geologia/index.htm,41.9033594,12.515426
178,roma,roma,non mibact,,,,,,museo di mineralogia,piazzale aldo moro5,universit di roma la sapienza,dipartimento scienze della terra,185.0,649914887,64454729,musmin.romauniroma1.it,www.musmin.geo.uniroma1.it,41.9033594,12.515426
179,roma,roma,non mibact,,,,,,museo dellarte classica gipsoteca,piazzale aldo moro 5,,edificio ex facolta lettere universita di roma la sapienza,185.0,649913960,649913955,mariagrazia.picozziuniroma1.it,,41.9033594,12.515426
180,roma,roma,non mibact,omr,,sistema musei in comune,,,galleria darte moderna di roma capitale,via francesco crispi 24,roma,c/o ex convento carmelitane scalze sec. xviii,187.0,06 4742848,06 4742912,infogalleriaartemodernaroma.it,www.galleriaartemodernaroma.it,41.9038672,12.4858498
181,roma,roma,non mibact,omr,,,,x,casa museo giorgio de chirico,piazza di spagna 31,palazzetto dei borgononi,palazzetto dei borgognoni,187.0,66796546,66796546,museumfondazionedechirico.org,www.fondazionedechirico.org,41.9056142,12.4827002
182,roma,roma,non mibact,omr,,,,x,keats shelley house,piazza di spagna 26,,,187.0,66784235,66784167,infokeats shelley house.org,www.keats shelley house.org,41.90575379999999,12.4825272
183,roma,roma,non mibact,,,,,,museo storico dellarma dei carabinieri,piazza risorgimento n. 46,,,192.0,66896696,66896696,cgmuseodircarabinieri.it,www.carabinieri.it,41.906259399999996,12.4591306
184,roma,roma,non mibact,,,,,,museo di anatomia comparata,via alfonso borelli 50,universit di roma la sapienza,c/o universita degli studi la sapienza dipartimento di biologia e biotecnologie c. darwin sede di anatomi,161.0,649918009,64457516,luciana.solauniroma1.it,,41.906419899999996,12.515730099999999
185,roma,roma,non mibact,,,,,,museo di anatomia patologica,viale regina elena 324,roma,dipartimento di medicina sperimentale policlinico umberto i,161.0,64461484,64461484,pietro.gallouniroma1.it,www.musei.uniroma1.it/anatomiapatologica/index.html,41.9072432,12.513499900000001
186,pisoniano,roma,non mibact,omr,sistema pre.gio,,,,museo della canapa,via santa maria 27,,,20.0,0774 411316,,,www.pisoniano.rm.gov.it/servizi/musei/museo della canapa,41.9080287,12.957783300000001
187,roma,roma,mibact,,,,,x,museo boncompagni ludovisi per le arti decorative costume e moda,via boncompagni 18,,,187.0,06 42824074,06 42824074,s gnam.museoboncompagnibeniculturali.it,,41.9087464,12.4952171
188,roma,roma,non mibact,omr,,,,x,casa di goethe,via del corso 18,roma,palazzo bracci,186.0,632650412,632650449,infocasadigoethe.it,www.casadigoethe.it,41.9090106,12.4771781
189,roma,roma,non mibact,omr,,sistema musei in comune,,,museo darte contemporanea roma,via reggio emilia 54,ex convento delle carmelitane scalze a san giuseppe a capo le case,,198.0,6671070400,68554090,macrocomune.roma.it,www.museomacro.org,41.9127277,12.502442199999999
190,roma,roma,non mibact,omr,,sistema musei in comune,,,musei di villa torlonia casina delle civette,via nomentana 70,roma,villa torlonia,161.0,644250072,644250166,mariagrazia.massafracomune.roma.it,www.museivillatorlonia.it,41.9133345,12.511711
191,roma,roma,non mibact,omr,,sistema musei in comune,,,museo della scuola romana,via nomentana 70,roma,villa torlonia / casino nobile,161.0,06 44252109/45472283,06 44252109,mariaitalia.zacheocomune.roma.it,www.museivillatorlonia.it,41.9133345,12.511711
192,roma,roma,non mibact,omr,,sistema musei in comune,,,musei di villa torlonia casino nobile,via nomentana 70,roma,villa torlonia,161.0,644250072,644250166,annapaola.agaticomune.roma.it,,41.9133345,12.511711
193,roma,roma,non mibact,omr,,sistema musei in comune,,x,museo pietro canonica,viale pietro canonica 2,,la fortezzuola di villa borghese,197.0,68842279,685301384,biancamaria.santesecomune.roma.it,www.museocanonica.it,41.9142202,12.486271
194,roma,roma,non mibact,omr,,,,,museo dei bambini explora,via flaminia 80/86,roma,ex deposito atac,196.0,63613776,636086803,ptomasichmdbr.it,www.2mdbr.it,41.915469099999996,12.474891699999999
195,roma,roma,non mibact,,,,,x,istituto di studi pirandelliani,via antonio bosio 13b,roma,villino del ministero dello sviluppo economico,161.0,644291853,644291853,postastudiodiluigipirandello.it,,41.9162577,12.5141843
196,roma,roma,non mibact,omr,,,,,museo del videogioco vigamus,via sabotino 4,,,195.0,06 4547 5940,,,www.vigamus.com,41.9167809,12.4596739
197,roma,roma,mibact,,,,,,galleria nazionale darte moderna e contemporanea,via delle belle arti 131,,,196.0,63221015,63221579,s gnambeniculturali.it,www.gnam.beniculturali.it,41.9170143,12.482134
198,roma,roma,non mibact,,,,,,museo storico della guardia di finanza,piazza armellini 20,roma,caserma g. di f.,162.0,644238841,64404805,museostoricogdfgdf.it,www.gdf.it,41.9183968,12.522342800000002
199,roma,roma,non mibact,omr,,sistema musei in comune,,,museo civico di zoologia,via ulisse aldrovandi 18,,,197.0,667109270,632650186,info.museodizoologiaroma.it,www.museodizoologia.it,41.919191399999995,12.488358999999999
200,roma,roma,non mibact,,,,,,istituto storico e di cultura dellarma del genio,lungotevere della vittoria 31,,,195.0,63725446,63725446,istituto genioesercito.difesa.it,,41.923115100000004,12.4607131
201,roma,roma,non mibact,,,,,,maxxi museo nazionale delle arti del xxi secolo,via guido reni 4/a,roma,,196.0,063225178 32101838,632101839,segreteriafondazionemaxxi.it,www.fondazionemaxxi.it,41.928484600000004,12.466481300000002
202,gerano,roma,non mibact,,,,,,mostra permanente la casa delle antiche scatole di latta,via del palazzo 8,,,25.0,3487960033,,scatolemarinahotmail.com,www.casadellescatole.org,41.93316970000001,12.993706
203,gerano,roma,non mibact,,,,,,museo dellinfiorata,via del municipio 8,,,25.0,774798002,774798875,infogerano.comnet.roma.it,www.infioratadigerano.it,41.9568201,13.021326400000001
204,roma,roma,non mibact,omr,,,,x,museo venanzo crocetti,via cassia 492,roma,edificio di architettura contemporanea,189.0,633711468,633711468,museo.crocettitiscali.it,www.museocrocetti.it,41.9592351,12.454381300000001
205,tivoli,roma,non mibact,omr,,,,,museo didattico del libro antico,piazza trento 1,tivoli,villa deste,19.0,641204709,641204709,associazionefanniusgmail.com,www.mdbr.it,41.962109600000005,12.7969341
206,cerveteri,roma,mibact,,,,,,museo nazionale archeologico cerite,piazza s.maria s.n.c,,,53.0,69941354,69940001,rita.cosentinobeniculturali.it,htpp//etruriameridionale.beniculturali.it,41.9989303,12.098905699999998
207,roma,roma,mibact,,,,,,villa di livia,via della villa di livia 1,via flaminia km 1400,,188.0,633626826,,,www.archeoroma.it,42.000788799999995,12.4934285
208,roma,roma,mibact,,,,,,area archeologica di veio santuario etrusco dellapollo,via riserva campetti,localit isola farnese portonaccio,,123.0,630890116,,,,42.021080700000006,12.3888035
209,arsoli,roma,non mibact,omr,sistema medaniene,,demos,,museo delle tradizioni musicali,corso borgo san bartolomeo 63,,complesso ex granaio massimo pian terreno.,23.0,774920006,774920313,ecomuseoarsoligmail.com comune.arsoliltiscalinet.it,www.prolocodiarsoli.it/museo20tradizioni20musicali.htm,42.0409547,13.019278199999999
210,santa marinella,roma,mibact,,,,,,antiquarium di pyrgi e area archeologica,,,castello di santa severa,58.0,766570194,766570194,sba embeniculturali.it,,42.0584662,11.900578999999999
211,formello,roma,non mibact,omr,,,proust,,casolare 311 casa colonica e museo della civilta comtadina,via santi martiri 12,perazzeta formello,casa colonica n. 311,60.0,69084255,690154548,museo.casolare311gmail.com,www.casolare311.it,42.061485100000006,12.445273
212,civitavecchia,roma,mibact,,,,,,museo archeologico nazionale,largo cavour 1,centro storico,c/o ingresso area portuale,53.0,76623604,76623604,sba embeniculturali.it,www.151.12.58.164/etruria/index.phpit/138/museo archeologico nazionale di civitavecchia,42.0911188,11.7927465
213,licenza,roma,non mibact,,,,,,museo civico oraziano,piazza del palazzo 3,,,26.0,77446225,77446582,licenza.licenzatin.it,,42.094637899999995,12.908997
214,civitavecchia,roma,mibact,,,,,,terme taurine o di traiano,via delle terme taurine,localit terme taurine uscita civitavecchia nord,,53.0,076623604 076620209,76623604,prolococivitavecchiainwind.it,www.prolococivitavecchia.it,42.1099953,11.8360816
215,campagnano di roma,roma,non mibact,,,,,,museo civico archeologico di campagnano,corso vittorio emanuele ii 2,,palazzo venturi,63.0,69042924,690159308,d.moretticomunecampagnano.it,,42.138897799999995,12.381161500000001
216,trevignano romano,roma,non mibact,omr,,,,,museo civico etrusco romano,piazza vittorio emanuele iii 1,,palazzo comunale,69.0,6999120201,69999848,museocivicotrevignanoromano.it,www.trevignanoromano.it,42.1561477,12.2463261
217,allumiere,roma,non mibact,omr,,,resina,,museo civico adolfo klitsche de la grange,piazza della repubblica 29,allumiere,palazzo della reverenda camera apostolica,51.0,766967793,766967793,museoallumieretiscali.it,www.digilander.libero.it/museoallumiere,42.1565334,11.9010675
218,oriolo romano,viterbo,mibact,,,,,,palazzo altieri,piazza umberto i 1,,,1010.0,699837145,699837145,,,42.15902379999999,12.138075099999998
219,fara in sabina,rieti,non mibact,omr,,,musart,,museo del silenzio,santa maria in castello snc,fara sabina,,2032.0,765277021,765277021,infomuseodelsilenzio.it,www.museodelsilenzio.it,42.2095728,12.7295977
220,bassano romano,viterbo,mibact,,,,,,villa giustiniani odescalchi,piazza umberto i,centro storico,,1030.0,0761 636065,0761 636065,,,42.2182424,12.1925906
221,nazzano,roma,non mibact,omr,,,resina,,polo scientifico museale museo del fiume di nazzano,via mazzini 4,nazzano,centro storico,60.0,0765 332002,0765 332710,museodelfiumelibero.it,www.museodelfiume.it,42.2286013,12.597138300000001
222,monteleone sabino,rieti,non mibact,omr,,,proust,,museo civico archeologico trebula mutuesca,via lucio mummio 11,monteleone sabino,municipio,2033.0,765884014,765884340,museomonteleonesabinogmail.com,,42.2343211,12.855987599999999
223,montopoli di sabina,rieti,non mibact,omr,,,musart,,modern automata museum,via case nuove 7,granari,,2034.0,765279821,765279559,infomodernautomatamuseum.com,www.modernautomatamuseum.com,42.235031899999996,12.682615
224,sutri,viterbo,non mibact,omr,,,,,museo del patrimonium,via di portavecchia 79,sutri,ex palazzo della comunita,1015.0,761600867,761601232,bibliocomune.sutri.vt.it,www.comune.sutri.vt.it/,42.2410805,12.2245358
225,tarquinia,viterbo,non mibact,,,,,,museo diocesano di civitavecchia tarquinia,via roma 11,,,1015.0,766840843,,insolera.giovannilibero.it,,42.2526729,11.7565463
226,tarquinia,viterbo,mibact,,,,,,museo archeologico nazionale,piazza cavour 2,centro storico,,1016.0,0761 856036,,,htpp//etruriameridionale.beniculturali.it/index.phpit/132/museo archeologico nazionale tarquiniense,42.2533951,11.7551343
227,tarquinia,viterbo,non mibact,,,,,,collezione giuseppe cultrera museo della ceramica della societa tarquiniense darte e storia,via delle torri 31,,,1016.0,766858194,766858194,tarquiniensegmail.com,,42.254213299999996,11.7572653
228,civita castellana,viterbo,mibact,,,,,,museo archeologico dellagro falisco e forte sangallo,via del forte snc,,,1033.0,0761 513735,0761 513735,,,42.2880258,12.4085077
229,magliano sabina,rieti,non mibact,,,,,,museo civico archeologico,via sabina 19,magliano sabina,palazzo gori,2047.0,744910001,744910001,museo civico mslibero.it,www.soi.cnr.it/magliano/,42.36117479999999,12.4826261
230,viterbo,viterbo,non mibact,obr,,,,,biblioteca s. giuseppe,viale a. diaz 25,,istituto teologico s. pietro,1100.0,761343134,761321026,biblioteca.sangiuseppeteologicoviterbese.it,,42.41107879999999,12.1090121
231,viterbo,viterbo,non mibact,omr,,sistema museale urbano di viterbo,musart,,museo della ceramica della tuscia,via cavour 67,,,1100.0,761346136,761223674,laboratorioceramicalibero.it,www.museodellaceramicadellatuscia.com,42.4157087,12.106446
232,viterbo,viterbo,non mibact,,,sistema museale urbano di viterbo,,,museo civico,piazza francesco crispi 2,viterbo,ex convento e chiostro della chiesa di s.maria della verit,1100.0,761348276,761348276,museocivicocomune.viterbo.it,www.comuneviterbo.it link museocivico,42.417672700000004,12.1105913
233,tuscania,viterbo,mibact,,,,,,chiesa san pietro,,localit tuscania,,1017.0,,,,,42.4185731,11.870308900000001
234,tuscania,viterbo,mibact,,,,,,necropoli madonna dellolivo,,localit madonna dellolivo,c/o chiesa di madonna dellolivo,1017.0,,,sba embeniculturali.it,htpp//etruriameridionale.beniculturali.it,42.4185731,11.870308900000001
235,viterbo,viterbo,mibact,,,sistema museale urbano di viterbo,,,museo nazionale etrusco di rocca albornoz,piazza della rocca 21/b,,,1100.0,0761 325929,0761 325929,sba em.roccaalbornozbeniculturali.it,www.etruriameridionale.beniculturali.it,42.421643100000004,12.1044907
236,canino,viterbo,mibact,,,,,,tomba francois,parco archeologico di vulci,localit vulci,castello dellabbadia,1011.0,0761 437787,0761 437787,sba embeniculturali.it,http//etruriameridionale.beniculturali.it,42.424116299999994,11.6310953
237,viterbo,viterbo,non mibact,,,,,,museo erbario della tuscia utv,via s. camillo de lellis snc,,universita degli studi della tuscia ex facolt di agraria vecchio edificio,1100.0,761357490,761357028,erbariounitus.it,www.unitus.it www.sma.unitus.it,42.426571100000004,12.0896074
238,viterbo,viterbo,mibact,,,,,x,villa lante della rovere,via jacopo barozzi 71,localit bagnaia,,1031.0,,,,,42.426754100000004,12.154816499999999
239,orte,viterbo,non mibact,omr,,,,,museo civico,via pie di marmo,,ex chiesa di santantonio abate,1028.0,0761 4041,0761 493303,infocomune.orte.vt.it,www.comune.orte.vt.it/c056042/zf/index.php/servizi aggiuntivi/index/index/idtesto/27,42.460527899999995,12.3870936
240,cellere,viterbo,non mibact,omr,sistema museale del lago di bolsena,,demos,,museo del brigantaggio,via marconi 20,,ex mattatoio,1010.0,0761 451791 392 7013553,,infomuseobrigantaggiocellere.it,www.museobrigantaggiocellere.it,42.5111064,11.7732155
241,ischia di castro,viterbo,non mibact,omr,sistema museale del lago di bolsena simulabo,,,,museo civico archeologico pietro e turiddo lotti,piazza cavalieri vittorio veneto,,,1010.0,0761 425455,0761 425400,ischia museocivicolibero.it,,42.5443643,11.7559713
242,capodimonte,viterbo,non mibact,,,,,,museo della navigazione nelle acque interne,viale regina margheritasnc,capodimonte,,1010.0,761870043,761871206,comunecapodimonteitpec.it,www.comune.capodimonte.vt.it,42.5560915,11.8882363
243,leonessa,rieti,non mibact,omr,,,,,museo civico demo antropologico di leonessa,via di san francesco 85,leonessa,c/o ex convento chiostro di san francesco,2016.0,746923212,746923219,comunedileonessacomunedileonessa.it,www.museum eu.it,42.5631277,12.964419900000001
244,valentano,viterbo,non mibact,omr,sistema museale del lago di bolsena,,proust,,museo della preistoria della tuscia e della rocca farnese,piazza della vittoria 11,,rocca farnese,1018.0,761420018,761420018,museo.valentanoalice.it,www.simulabo.it,42.5685644,11.819206900000001
245,amatrice,rieti,non mibact,omr,,,musart,,museo civico di arte sacra cola filotesio di amatrice,via cola 47,amatrice,,2012.0,074683081 int 27,746825682,museocivicocomune.amatrice.it,,42.629869899999996,13.287811900000001
246,bolsena,viterbo,non mibact,omr,sistema museale del lago di bolsena,,,,museo territoriale del lago di bolsena,piazza monaldeschi,,castello,1023.0,761798630,,museocomunebolsena.it,www.regione.lazio.it/musei/museo bolsena/,42.6463309,11.9858125
247,bolsena,viterbo,mibact,,,,,,area del foro e domus privatae della citt romana di volsinii,via orvietana,localit poggio moscini,,1023.0,,,,,42.6474699,11.998059699999999
248,grotte di castro,viterbo,non mibact,omr,sistema museale del lago di bolsena,,,,museo archeologico e delle tradizioni popolari,piazza giacomo matteotti,,palazzo di jacopo barozzi da vignola sec. xvi,1025.0,0763 796983,,bibliotecagrottelibero.it,www.simulabo.it,42.6852104,11.902225900000001
249,acquapendente,viterbo,non mibact,omr,sistema museale del lago di bolsena,,musart,,museo della citta,via roma 85,,palazzo vescovile,1021.0,0763 7309205,0763 711215,museo.civ.dioccomuneacquapendente.it,www.museoacquapendente.it,42.7426527,11.868904800000001
250,acquapendente,viterbo,non mibact,omr,sistema museale del lago di bolsena,,,,museo della citta,piazzetta dellorologio,,palazzo monaldeschi,1023.0,0761 796914,,infosimulabo.it,,42.7436932,11.868015699999999
251,acquapendente,viterbo,non mibact,omr,sistema museale del lago di bolsena,,resina,,museo del fiore,predio giardino 37,frazione torre alfina,,1021.0,763733642,763731175,infomuseodelfiore.it,www.museodelfiore.it,42.7477229,11.8630202
252,itri,latina,non mibact,omr,,,demos,,museo demoetnoantropologico del brigantaggio nel lazio meridionale,corso appio claudio 268,,,4020.0,771721061,771721061,infomuseobrigantaggio.it,www.museobrigantaggio.it,41.2901261,13.524151199999999
253,pomezia,roma,non mibact,omr,,,proust,,museo civico archeologico lavinium,via pratica di mare,borgo di pratica,edificio moderno,40.0,691984744,691984744,museo.laviniumyahoo.it,www.museopomezia.it,41.6068257,12.503282400000002
254,frosinone,frosinone,non mibact,omr,,,,,museo archeologico comunale,via xx settembre 32,centro storico,c/o cattedrale di s. maria,3100.0,775212314,775859292,museocomune.frosinone.it,www.comune.frosinone.it,41.639362299999995,13.3523809
