,Categoria,Provincia,Comune,Denominazione,Indirizzo,Telefono,Orari,Biglietto intero,Biglietto ridotto,Note,scheda
55,Monumentale,Palermo,Palermo,Casina Cinese,Via Duca degli Abruzzi,091 7071317/411,Da martedÃ¬ a sabato dalle 9.00 alle 19.00 (chiusura biglietteria 30 minuti prima). Aperta prima domenica del mese dalle 9.00 alle 13.30.,Gratuito,Gratuito,"Prima domenica del mese ingresso gratuito (ore 9,00-13,30)",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=141&amp;IdSito=133
56,Aree archeologiche e Antiquarium,Siracusa,Augusta,Area archeologica e Antiquarium di Megara Hyblaea,Contrada Megara Giannalena,09314508211,"Dal lunedÃ¬ al sabato dalle 8,30 alle 19,00 chiusura biglietteria 18,00. 
Festivi:  2 luglio apertura 8.30- 19.00(chiusura biglietteria 18.00), 
altre domeniche 8.30- 13.30 (chiusura biglietteria 13,00)","4,00 â‚¬","2,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=95&amp;IdSito=79
57,Aree archeologiche,Trapani,Pantelleria,Area archeologica dell'Antica Cossyra,Contrada Mursia,0923808111,,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=184&amp;IdSito=108
58,Musei archeologici,Siracusa,Siracusa,Museo archeologico regionale Paolo Orsi di Siracusa,Viale Teocrito 66,"0931489511 fax 0931489532

APERTURA STRAORDINARIA lunedÃ¬ 24 Aprile e 1 maggio ore 9-14","LunedÃ¬ chiusura. Da martedÃ¬ a sabato dalle 9.00 alle 19.00. Festivi dalle 9.00 alle 14.00. Ultimo ingresso un'ora prima. Orari Numismatica: da martedÃ¬ a sabato dalle 9.00 alle 13.30, mercoledÃ¬ dalle 9.00 alle 17.30.","8,00 â‚¬","4,00 â‚¬","L'acquisto di biglietti non puÃ² piÃ¹ essere effettuato tramite bonifico sul contocorrente dell'amministrazione regionale. Per informazioni rivolgersi al concessionario THEKEY srl, amministrazione@thekeygroup.eu",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=30&amp;IdSito=71
59,Aree archeologiche,Messina,Milazzo,Antiquarium di Milazzo,Via Impallomeni 16,0909223471,Da martedÃ¬ al sabato ore 09:00/19:00; festivi e lunedi ore 09:00/13:00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=191&amp;IdSito=152
60,Aree archeologiche,Ragusa,Ragusa,Area archeologica Agora',"S.P. 102 - Km.1,5",0932 826004,Chiusa per lavori di messa in sicurezza,Unico con Museo di Kamarina,Unico con Museo di Kamarina,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=177&amp;IdSito=125
61,Aree archeologiche,Siracusa,Carlentini,Area archeologica di Leontinoi,Contrada San Mauro - Carlentini,0957832962 (presso Museo),"MartedÃ¬, giovedÃ¬ dalle 8.30 alle 13.45 (chiusura biglietteria ore 13.00).
giovedÃ¬ 27 e festivi CHIUSO",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=180&amp;IdSito=81
62,Aree archeologiche,Caltanissetta,Gela,Area archeologica Bosco Littorio (Emporio Greco) di Gela,LocalitÃ  Bosco Littorio,0933912626,Chiuso temporaneamente,,,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=146&amp;IdSito=24
63,Monumentale,Messina,Montalbano Elicona,Castello di Montalbano Elicona,Via Castello,"09036746433, URP della Soprintendenza di Messina","Da lunedÃ¬ a venerdi dalle ore 09:00 alle ore 13:00 e dalle ore 14:00 alle ore 18:00.
Nei festivi dalle ore 09:00 alle ore 18:00 open day.
L'apertura sarÃ  prolungata nel periodo estivo","3,00 â‚¬","1,50 â‚¬","Nei giorni di chiusura visitabile su prenotazione, tramite Ufficio del Turismo del Comune (0941678019; 0941670081)",
64,Aree archeologiche,Palermo,Palermo,Castello della Zisa,Piazza Zisa,0916520269 - 0917071411,"Da lunedÃ¬ a sabato 9,00-19,00 (ultimo ingresso 18,30) domenica e festivi 9,00-13,30 (ultimo ingresso 13,00)","6,00 â‚¬","3,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=11&amp;IdSito=56
65,Aree archeologiche,Catania,Catania,Anfiteatro Romano di Catania,Piazza Stesicoro,095/7150508 polomuseale.ct@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it,"Da martedÃ¬ a sabato dalle ore 9.00 alle ore 13.00 e dalle ore 14.30 alle ore 19.00.
Giorni di chiusura:lunedÃ¬ e domenica.",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=147&amp;IdSito=28
66,Aree archeologiche,Trapani,Favignana,Grotta del Genovese - Levanzo,,0923808111,Visitabile su prenotazione,Gratuito,Gratuito,Previa prenotazione escluso i festivi. La visita dura 2 ore ed Ã¨ guidata,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=190&amp;IdSito=90
67,Musei archeologici,Trapani,Marsala,Museo archeologico regionale Lilibeo Marsala - Baglio Anselmi,Lungomare Boeo 30 â€“ 91025 MARSALA,0923 952535 - per le visite su prenotazione rivolgersi al personale o telefonare allo 0923 952535,"MUSEO: martedÃ¬, domenica e festivi ore 9.00-13.30 (ultimo 12.30); da mercoledÃ¬ a sabato 9.00-18.30 (ultimo 17.30). AREA ARCHEOLOGICA: martedÃ¬, domenica e festivi 9.00-12.30; da MercoledÃ¬ a sabato 9.00-17.30 (ultimo 16.30). Chiusura il LunedÃ¬","4,00 â‚¬","2,00 â‚¬","GROTTA DELLA SIBILLA: da martedÃ¬ a venerdÃ¬ 9.00-13.00 (Visite su richiesta).
IPOGEO CRISPIA SALVIA: da martedÃ¬ a venerdÃ¬ 9.00-13.00 (Visite su prenotazione).
Chiusura il LunedÃ¬. Orari in vigore dal 18 aprile 2017",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=32&amp;IdSito=88
68,Aree archeologiche,Trapani,Campobello di Mazara,Area archeologica Cave di Cusa Vincenzo Tusa,S.P. Tre Fontane,092446277,"Apertura alle 9,00. Apertura alle 9,00. Dal 1 marzo chiusura alle ore 13.00 (uscita entro le 14.00).","2,00 â‚¬","1,00 â‚¬","ModalitÃ  di pagamento ingresso alle aree del Parco: CONTANTI: allo sportello della biglietteria, POS allo sportello della biglietteria; BONIFICO BANCARIO (istruzioni sulla pagina del Parco)",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=183&amp;IdSito=89
69,Musei archeologici,Ragusa,Ragusa,Museo regionale interdisciplinare di Ragusa,Via Natalelli,0932622963 - fax 0932622963,"Tutti i giorni feriali dalle ore 9,00 alle 18.30. Apertura festiva solo la prima domenica di ogni mese",Gratuito,Gratuito,Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=28&amp;IdSito=67
70,Musei archeologici,Siracusa,Lentini,Museo archeologico regionale di Lentini,Via Museo 1,0957832962,"LunedÃ¬ chiuso. Dal martedÃ¬ al sabato dalle 9.00 alle 19.00 (chiusura biglietteria 18.00).
Domenica 2-9-30 luglio dalle 9.00 alle 13.30 (chiusura biglietteria 13.00)",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=31&amp;IdSito=80
71,Aree archeologiche,Siracusa,Siracusa,Ginnasio Romano,Via Elorina,09314508211,CHIUSO,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=181&amp;IdSito=76
72,Musei e Gallerie,Palermo,Palermo,Museo regionale d'Arte moderna e contemporanea di Palermo,Corso Vittorio Emanuele n. 365(Piazza Bologni),091320532 fax 0916090166,"MartedÃ¬, mercoledÃ¬ e domenica ore 10,00-20,00(la biglietteria chiude 30 minuti prima); giovedi, venerdÃ¬ e sabato ore 10,00-24,00(la biglietteria chiude 30 minuti prima). LunedÃ¬ chiuso eccetto i festivi. La biglietteria chiude 30 minuti prima.","6,00 â‚¬","3,00 â‚¬","La prima domenica di ogni mese ingresso gratuito. Prossima festivitÃ : venerdÃ¬ 2 giugno apertura del Museo, orario 10.00-20.00(la biglietteria chiude 30 minuti prima).",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=9&amp;IdSito=112
73,Musei e Gallerie,Trapani,Trapani,Museo regionale Agostino Pepoli di Trapani - Museo interdisciplinare,Via Conte Pepoli 180,0923553269 - fax 0923535444,"LUNEDI'CHIUSO. Apertura da mercoledÃ¬ a sabato dalle 9,00 alle 17.30;marterdÃ¬ dalle 9,00 alle 13,30; domeniche e festivi dalle ore 9,00 alle 12,30. La biglietteria termina il servizio mezz'ora prima della chiusura.","6,00 â‚¬","3,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=14&amp;IdSito=86
74,Musei e Gallerie,Catania,Caltagirone,Museo regionale della Ceramica di Caltagirone,Giardino Pubblico ''Vittorio Emanuele'' fino al 19 marzo 2017 (succesivamente anche da Via Roma ''Teatrino del Bonaiuto''),093358418 - 093358423 fax 093326972,Tutti i giorni dalle 9.00 alle 18.30 (ultimo ingresso ore 18.00),"4,00 â‚¬","2,00 â‚¬",Ingresso gratuito ai minori di 18 anni e ai cittadini dell'Unione Europea nel giorno del loro compleanno. Ingresso libero la prima domenica di ogni mese. Visitate la pagina facebook.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=2&amp;IdSito=38
75,Aree archeologiche,Siracusa,Siracusa,"Area archeologica della Neapolis, Orecchio di Dionisio e Teatro Greco",Via del Teatro Greco,093166206,"Tutti i giorni dalle 8,30 alle 19,45. Chiusura biglietteria 18.30","10,00 â‚¬","5,00 â‚¬","L'acquisto di biglietti non puÃ² piÃ¹ essere effettuato tramite bonifico sul contocorrente dell'amministrazione regionale. Per informazioni rivolgersi al concessionario THEKEY srl, amministrazione@thekeygroup.eu",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=55&amp;IdSito=75
76,Aree archeologiche,Siracusa,Noto,Area archeologica e Villa Romana del Tellaro,Contrada Caddeddi,0931573883,Tutti i giorni dalle 8.30 alle 19.00 (chiusura biglietteria 18.00),Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=53&amp;IdSito=83
77,Aree archeologiche,Catania,Catania,Ipogeo Romano,Via G. Sanfilippo,095/7150508 polomuseale.ct@regione.sicilia.it - poloregionalect.urp@regione.sicilia.it,L'Ipogeo romano Ã¨ visitabile su prenotazione,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=166&amp;IdSito=30
78,Aree archeologiche,Trapani,Calatafimi Segesta,Area archeologica Segesta,Case Barbaro - contrada Barbaro - S.P.  68,0924952356,"Apertura sempre alle ore 9.00. Chiusure: sino al 28 febbraio ore 17. Dall'1 al 26 marzo ore 18,30; dal 27 marzo al 1 ottobre ore 19.30; dal 2 al 31 ottobre ore 18,30; dal 1 novembre al 31 dicembre ore 17. ULTIMO INGRESSO UN'ORA PRIMA DELLA CHIUSURA.","6,00 â‚¬","3,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=57&amp;IdSito=91
79,Musei e Gallerie,Palermo,Marineo,Castello Beccadelli Bologna,Piazza Castello,0917071425 - 0918726491,Da martedÃ¬ a domenica dalle 9.30 dalle 13.30. MercoledÃ¬ e sabato anche dalle 9.30 alle 18.30. Chiuso il lunedÃ¬,,,Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=101&amp;IdSito=110
80,Musei e Gallerie,Catania,Adrano,Museo regionale di Adrano,Piazza Umberto I,TEL. 0957691622 - 0957602608,Aperto da lunedÃ¬ a sabato dalle ore 9.00 alle ore 19.00. Domenica dalle ore 9.00 alle ore 13.00. La prima domenica del mese dalle 9.00 alle 19.00.Costo 2 euro (prezzo ridotto poichÃ© parte del Museo Ã¨ temporaneamente chiusa),"2,00 â‚¬","2,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=4&amp;IdSito=35
81,Aree archeologiche,Ragusa,Santa Croce Camerina,Area archeologica Caucana,Via delle Anticaglie - Frazione Caucana,347 6974 535 (Distefano),Apertura su prenotazione telefonica. Tutte le domeniche dal 30 Aprile al 30 Giugno dalle ore 10.00 alle 12.30 Nei mesi di Luglio ed Agosto il mattino dalle 10.00 alle 12.30 e nel pomeriggio dalle 17.00 alle 19.30,Ingresso libero,Ingresso libero,gestito dal Comitato Kaukana con indirizzo email comitato.kaukana@gmail.com,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=54&amp;IdSito=70
82,Musei archeologici,Agrigento,Agrigento,Museo archeologico regionale di Agrigento,Contrada San Nicola 12,"0922401565 - fax 092220014
e-mail: polomuseale.ag@regione.sicilia.it","Da lunedÃ¬ a sabato 9,00-19,30; Giorni festivi e domeniche: 9,00-13,30. (Ultimo ingresso mezz'ora prima della chiusura). Biglietto cumulativo Museo-Parco Archeologico e Paesaggistico Valle dei Templi: singolo â‚¬ 13,50, ridotto â‚¬ 7,00.","8,00 â‚¬","4,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=16&amp;IdSito=2
83,Aree archeologiche,Siracusa,Siracusa,Tempio Jonico,Via del Teatro Greco,0931 450811,Chiuso al pubblico per interventi di manutenzione,,,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=179&amp;IdSito=73
84,Monumentale,Trapani,Favignana,Ex Stabilimento Florio di Favignana,Isola di Favignana,Vedi sito Internet della Soprintendenza BB.CC.AA. di Trapani,"Dall'1 al 9 aprile sabato e domenica (10.00 - 14.00). Dal 15 aprile al 30 maggio tutti i giorni (10.00 - 14.00), dall'1 al 30 giugno chiusura alle 17.00. Da luglio a settembre tutti i giorni (10.30 - 13.30 e 17.00 - 23.00)","6,00 â‚¬","3,00 â‚¬","Per informazioni: Biglietteria del sito, cell. 3245631991",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=186&amp;IdSito=150
85,Musei e Gallerie,Siracusa,Siracusa,Galleria regionale di Palazzo Bellomo di Siracusa â€“ Museo interdisciplinare,Via Capodieci 14-16,"093169511, fax 093169529","Da Marzo a Novembre 2017: da martedÃ¬ a sabato dalle 9.00 alle 19.00. Festivi (tranne prima e terza domenica) apertura dalle 14.00 alle 19.30, prima e terza domenica dalle 9.00 alle 13.30. LunedÃ¬ chiuso.","8,00 â‚¬","4,00 â‚¬","20 settembre 2016 - Per l'acquisto di stock di biglietti rivolgersi al concessionario THEKEY srl, amministrazione@thekeygroup.eu",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=13&amp;IdSito=72
86,Musei e Gallerie,Messina,Messina,Museo regionale interdisciplinare di Messina,Viale della LibertÃ  465,090361292/93,Dal MartedÃ¬ al Sabato ingresso dalle 9.00 alle 18.30 (chiusura 19.00); Domenica e festivi 9.00-12.30 (chiusura 13.00). LunedÃ¬ (non festivi) chiuso.,"8,00 â‚¬","4,00 â‚¬","I giorni 15, 16 e la mattina del 17 giugno il Museo sarÃ  chiuso per l'ultimazione dei preparativi all'apertura dei nuovi settori. Dopo la cerimonia di sabato 17, l'ingresso libero del pubblico sarÃ  garantito dalle 20.30 alle 22.30.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=5&amp;IdSito=43
87,Aree archeologiche,Agrigento,Naro,Zona Archeologica,Contrada Canale - Naro,Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Da LunedÃ¬ al Sabato dalle ore 8,00 alle ore 14,00. Tutte le Domeniche e le FestivitÃ  chiusura totale",Gratuito,Gratuito,,
88,Aree archeologiche,Caltanissetta,Gela,Area archeologica Acropoli (Molino a Vento),Corso Vittorio Emanuele 1,0933912626,"In ora solare, dal lunedÃ¬ al sabato, dalle 9,30 alle 13,00 e dalle 14,00 alle 18,00 (ultimo ingresso ore 17,30). CHIUSO I FESTIVI  tranne la prima domenica di ogni mese, dalle 9,00 alle 13,00 (ultimo ingresso ore 12,30)",,,"Apertura fino alle ore 13,00 tutte le domeniche di giugno e luglio.
Biglietto unico con il Museo Archeologico Regionale di Gela.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=37&amp;IdSito=22
89,Aree archeologiche,Caltanissetta,San Cataldo,Area archeologica Vassallaggi,Contrada Vassallaggi,0934554964,Visitabile su prenotazione inviando richiesta a: sopricl@regione.sicilia.it,Gratuito,Gratuito,Per ragioni di sicurezza il sito non Ã¨ temporaneamente visitabile.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=164&amp;IdSito=25
90,Aree archeologiche,Messina,Patti,Villa Romana di Patti,Via Giovanni XXIII 2 - Patti Marina,0941361593,"maggio, giugno, luglio e agosto ore 09:00/19:00. Dal 1 al 15 settembre ore 09:00/18:30; dal 16 al 30 settembre ore 09:00/18:00.","4,00 â‚¬","2,00 â‚¬","Dal 1 settembre 2015 Ã¨ istituito il biglietto unico per la visita della Villa Romana di Patti Marina e dell'area archeologica di Tindari, con tariffa intera di â‚¬ 8,00 e ridotta di â‚¬ 4,00, la cui validitÃ  Ã¨ di tre giorni dalla data di emissione.",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=42&amp;IdSito=49
91,Musei e Gallerie,Palermo,Palermo,Galleria regionale della Sicilia di Palazzo Abatellis di Palermo â€“ Museo interdisciplinare,Via Alloro 4,"Telefono 0916230011, fax 0916165305, urp 0916230068, Biglietteria 0916230047
e-mail:polomuseale.pa@regione.sicilia.it
https://www.facebook.com/GalleriaRegionaledellaSiciliadiPalazzoAbatellis?fref=ts","da martedÃ¬ a venerdÃ¬ 9.00-18.30; sabato, domenica e festivi 9.00-13.00. LunedÃ¬ chiuso.","8,00 â‚¬","4,00 â‚¬",Prima domenica del mese Ingresso gratuito. PossibilitÃ  di biglietto cumulativo.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=7&amp;IdSito=54
92,Monumentale,Messina,Taormina,Palazzo Ciampoli,Corso Umberto,"09036746433, URP della Soprintendenza di Messina","Prossima apertura, orari in attesa di definizione",,,,
93,Aree archeologiche,Catania,Catania,Teatro Romano e Odeon di Catania,Via Vittorio Emanuele 266,095/7150508 fax 095/311004- polomuseale.ct@regione.sicilia.it; poloregionalect.urp.@regione.sicilia.it,"Da lunedÃ¬ a domenica dalle ore 9.00 alle ore 19.00. 
 
La prima domenica del mese l'ingresso Ã¨ gratuito","6,00 â‚¬","3,00 â‚¬","In occasione dell'evento organizzato in collaborazione con Taobuk ''Premio Sicilia a Isabel Allende'', sabato 3 giugno, il Teatro Antico chiuderÃ  alle ore 17.00",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=147&amp;IdSito=29
94,Musei archeologici,Siracusa,Palazzolo Acreide,Museo archeologico di Palazzo Cappellani,Via Gaetano Italia 36,0931875575,"LunedÃ¬ e festivi dalle 14,00 alle 19,00, chiusura biglietteria 18,00. Dal martedÃ¬ al sabato dalle 9,00 alle 19,00, chiusura biglietteria 18,00",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=326&amp;IdSito=172
95,Aree archeologiche,Caltanissetta,Gela,Area archeologica Bagni Greci di Gela,Via Europa,0933 912626,"Libero accesso tutti i giorni dalle 9,00 alle 14,00 e dalle 15,00 alle 20,00",Gratuito,Gratuito,Sito non custodito situato all'interno della struttura Casa di Riposo ''Antonietta Aldisio'',http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=145&amp;IdSito=23
96,Aree archeologiche,Ragusa,Pozzallo,Torre Cabrera,"Pozzallo, Piazza Rimembranza snc",09321839271,Dal lunedÃ¬ al sabato dalle ore 9 alle 12.30 e dalle ore 16.45 alle 19.45.,,,Ingresso libero. Per info ulteriori ed eventuali variazioni:Comune di Pozzallo cultura@comune.pozzallo.rg.it,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=178&amp;IdSito=128
97,Monumentale,Catania,Catania,Chiesa di San Francesco Borgia,Via Crociferi 17,095310762,"Da lunedÃ¬ a sabato dalle 9,00 alle 19,00. Aperta la prima domenica di ogni mese dalle 9,00 alle 19,00. Ulteriori domeniche del mese 9.00-13.00. Festivi 9.00-13.00.",Ingresso libero,Ingresso libero,,
98,Aree archeologiche e Antiquarium,Palermo,Termini Imerese,Area archeologica e Antiquarium di Himera,Contrada Buonfornello,"Tel. 0918140128 e 0918140906, fax 0918140906 indirizzo email poloarcheologico.pa.uo5@regione.sicilia.it","Feriali 9.30 - 13.30 e 14.30 - 18.30, domeniche e festivi 9,30 - 13,30. Prima domenica del mese ingresso gratuito. LunedÃ¬ chiusura. La biglietteria chiude trenta minuti prima dell'uscita","4,00 â‚¬","2,00 â‚¬",Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici. Visita all'area archeologica della CittÃ  alta dalle 9.30 alle 13.30.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=50&amp;IdSito=65
99,Aree archeologiche,Messina,Capo d'Orlando,Area archeologica di Capo d'Orlando,Contrada Bagnoli,0941955401,Tutti i giorni compresi i festivi da aprile a settembre 09:00/19:00.,Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=168&amp;IdSito=46
100,Aree archeologiche,Agrigento,Sant'Angelo Muxaro,Area archeologica di Sant'Angelo Muxaro,Necropoli - Sant'Angelo Muxaro,0922 919806,"Giorni feriali:aperto tutti i giorni dalle 8,30 alle 19
Domeniche e festivitÃ  infrasettimanali:aperto dalle 8,30 alle 13,30",Gratuito,Gratuito,,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=159&amp;IdSito=15
101,Aree archeologiche,Agrigento,Canicatti',"Zona Archeologica ""Vito Soldano""","Zona archeologica di Vito Soldano - CanicattÃ¬
SS 122 - trazzera CanicattÃ¬-Castrofilippo",Centralino Soprintendenza BB.CC.AA. di Agrigento 0922552611,"Da LunedÃ¬ al Sabato dalle ore 8,00 alle ore 14,00. Tutte le Domeniche e le FestivitÃ  chiusura totale",Gratuito,Gratuito,,
102,Aree archeologiche,Enna,Piazza Armerina,Area archeologica della Villa Romana del Casale a Piazza Armerina,Contrada Casale,0935680036,"Tutti i giorni, festivi compresi, la biglietteria rimarrÃ  aperta dalle ore 9,00 alle ore 18,00, il cancello sarÃ  chiuso alle ore 19,00. L'ingresso Ã¨ libero ogni prima domenica di ogni mese.","10,00 â‚¬","5,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=39&amp;IdSito=124
103,Musei archeologici e Aree archeologiche,Messina,Giardini-Naxos,Museo archeologico regionale e Area archeologica di Naxos,"Via Lungomare SchisÃ², Giardini Naxos ( Messina ) - Sicily - Italy",Direzione 0942628738 Museo e area archeologica 094251001 - Fax 0942571813,www.parconaxostaormina.it - Aperto tutti i giorni dalle 9.00 ad un'ora prima del tramonto,"4,00 â‚¬","2,00 â‚¬","Audio Tour LINK IZI.travel 
https://izi.travel/it/italia/guide-di-citta-in-sicilia-taormina
Scarica App su iziTRAVEL",http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=41&amp;IdSito=120
104,Musei e Gallerie,Catania,Catania,Casa Museo Giovanni Verga,"Via Sant'Anna, 8
 Catania.",0957150598,"Tutti i giorni dalle ore 9.00 alle ore 13.15 e dalle 14.15 alle 19.00.
Chiusura  domenica e festivi.","4,00 â‚¬","2,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=3&amp;IdSito=27
105,Monumentale,Siracusa,Siracusa,Castello Maniace,Isola di Ortigia,0931464420,Da lunedÃ¬ a sabato dalle 8.30 alle 13.00. Festivi chiuso. LunedÃ¬ 10 luglio chiuso per lavori,"2,00 â‚¬",,Orari validi per il mese di luglio.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=102&amp;IdSito=77
106,Aree archeologiche e Antiquarium,Agrigento,Cattolica Eraclea,Area archeologica e Antiquarium Eraclea Minoa,Contrada Minoa - Cattolica Eraclea,0922 846005,"Orario di apertura al pubblico dal 18 Aprile al 17 Settembre dalle ore 9,00 alle ore 19,00
Orario di apertura dal 18 settembre al 31 Dicembre dalle ore 9,00 alle ore 17,00","4,00 â‚¬","2,00 â‚¬",,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=35&amp;IdSito=9
107,Aree archeologiche,Palermo,Palermo,Area archeologica Villa Bonanno,Piazza della Vittoria,0917071317/411,"Da lunedÃ¬ a venerdÃ¬ dalle 9.00 alle 13,00",Gratuito,Gratuito,Dipende dal Polo regionale di Palermo per i Parchi e i Musei archeologici,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=172&amp;IdSito=60
108,Aree archeologiche,Messina,San Fratello,Area Archeologica dellâ€™antica Apollonia,Monte Vecchio,"09036746433, URP-Soprintendenza di Messina",Da aprile a settembre nei giorni feriali ore 09:00/19:00; nei festivi da giugno a settembre ore 09:00/19:00.,Gratuito,Gratuito,,
109,Aree archeologiche,Caltanissetta,Mazzarino,Area archeologica di Sophiana,Mazzarino - Contrada Sofiana (S.P. 25),0935 687667,Visitabile su prenotazione,,,Chiuso al pubblico. Per informazioni urpmuseo.casale@regione.sicilia.it oppure visita www.villaromanadelcasale.it.,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=165&amp;IdSito=129
110,Aree archeologiche,Ragusa,Modica,Area archeologica di Cava d'Ispica,"Modica, S.P. Modica-Cava Ispica snc",0932771667,"Dal 1 aprile tutti i giorni, festivi compresi, dalle 9 alle 18.30.","4,00 â‚¬","2,00 â‚¬",Dipende dal Polo regionale di Ragusa per i siti archeologici e per i Parchi archeologici di Kamarina e Cava Ispica,http://www.regione.sicilia.it/beniculturali/dirbenicult/database/page_musei/pagina_musei.asp?ID=52&amp;IdSito=69
