,,biglietto intero,biglietto ridotto,cap,casa museo,categoria,comune,denominazione,indirizzo,latitudine,longitudine,note,omr,orari,provincia,q1.10 sa email museo istituto,q1.11 sa sito web museo istituto,q1.3 sa localita museo istituto,q1.4 sa ubicazione/edificio museo istituto,q1.9 sa fax museo istituto,scheda,sistema museale tematico,sistema museale territoriale,statale non statale,telefono
Lazio,118,,,33.0,,,citt di cave,museo civico citt di cave,via cavour 27,41.8175809,12.9296593,,omr,,roma,museocivicocavegmail.com,www.comune.cave.rm.it/joomla/index.phpoptioncom contentviewarticleid106itemid207langit,,ex ospedale mattei ex convento degli agostiniani,,,,sistema pre.gio,non mibact,347 5438042
Lazio,119,,,143.0,,,roma,societa di studi fiumani,via antonio cippico 10,41.8209437,12.4816416,,,,roma,infofiume rijeka.it,www.fiume rijeka.it,,,65915755,,,,non mibact,65923485
Lazio,120,,,3020.0,,,giuliano di roma,museo del vulcanismo ernico muve,via san tommaso,41.8229064,12.5083767,,omr,,roma,,,,palazzo brettagna,,,resina,,non mibact,
Lazio,121,,,30.0,,,san cesareo,ferrovia museo della stazione di colonna,via casilina 17,41.8240697,12.8108383,,omr,,roma,stazionecolonnaalice.it,www.ferroviamuseo colonna.it,san cesareo,ex stazione di colonna,694730008,,,sistema museale dei castelli romani e prenestini museumgrandtour,non mibact,69439290
Lazio,122,,,178.0,,,roma,villa dei quintili,via appia nuova 1092,41.830827899999996,12.5555566,,,,roma,ssba rm.villadeiquintilibeniculturali.it,htpp//www.archeoroma.beniculturali.it,statuario,area archeologica estesa tra via appia nuova e via appia antica,671291230,,,,mibact,67129121
Lazio,123,,,144.0,,sistema musei in comune,roma,museo della civilt romana,piazza giovanni agnelli 10,41.8314198,12.477854800000001,,omr,,roma,info.museociviltaromanacomune.roma.it,www.museociviltaromana.org,,palazzo storico,65926135,,,,non mibact,65926041
Lazio,124,,,144.0,,,roma,museo nazionale dellalto medioevo,viale lincoln 3,41.8326346,12.472430000000001,,,,roma,ssba rm.ostia.medioevobeniculturali.it,,,,06 54228130,,,,mibact,654228199
Lazio,125,,,36.0,,,palestrina,fondazione giovanni pierluigi da palestrina,vicolo pierluigi 3,41.83940870000001,12.889351,,,,roma,fond.palestrinatiscalinet.it,,,,69538083,,,,non mibact,69538083
Lazio,126,,,30.0,,,genazzano,centro internazionale darte contemporanea ciac,piazza san nicola 4,41.8458692,12.945314300000001,,omr,,roma,infociacmuseum.com,www.ciacmuseum.com,,castello colonna,,,musart,sistema museale dei castelli romani e prenestini,non mibact,
Lazio,127,,,30.0,,,castel san pietro,museo civico,piazza vittorio veneto,41.8464775,12.8943829,,omr,,roma,ilbetilotiscali.it,http//beni culturali.provincia.roma.it/content/museo civico di castel san pietro,,palazzo mocci,06 9538481,,,sistema pre.gio,non mibact,06 9538481
Lazio,128,,,36.0,,,palestrina,museo della resistenza e degli undici martiri,via vigesimo,41.8465578,12.8615344,,,,roma,infocomune.palestrina.rm.it,www.comune.palestrina.rm.it,vigesimo via pedemontana,,,,,,non mibact,069573176 0695302272 271
Lazio,129,,,179.0,,,roma,tomba di cecilia metella,via appia antica 161,41.85211279999999,12.5209185,,,,roma,,htpp//www.archeoroma.beniculturali.it,,tomba di cecilia metella nel castrum caetani,678442730,,,,mibact,67844271
Lazio,130,,,185.0,,,roma,museo delle origini,piazzale a. moro 5,41.8573198,12.5015354,,,,roma,musorirmcisadu.let.uniroma1.it,www.musei.uniroma1.it/museodelleorigini/index.html,roma,facolta di lettere,649913653,,,,non mibact,649913924
Lazio,131,,,179.0,,,roma,mausoleo delle fosse ardeatine,via ardeatina nr. 174,41.8583554,12.5089148,,,,roma,mausoleofosseardeatineonorcaduti.difesa.it,,roma,,65136742,,,,non mibact,65136742
Lazio,132,,,30.0,,,capranica prenestina,museo civico naturalistico dei monti prenestini,piazza aristide frezza 6,41.8621223,12.9521942,,omr,,roma,museocomunecapranica.it,www.comunecapranica.it,,palazzo barberini,69584337,,resina,sistema pre.gio,non mibact,69584126
Lazio,133,,,154.0,,sistema musei in comune,roma,musei capitolini centrale montemartini,via ostiense 106,41.8670298,12.478986500000001,,omr,,roma,info.centrale.montemartinicomune.roma.it,www.centralemontemartini.org,ex centrale termoelettrica giovanni montemartini,complesso industriale,65754207,,,,non mibact,65748042
Lazio,134,,,179.0,,sistema musei in comune,roma,museo delle mura di roma,via di porta san sebastiano 18,41.8734634,12.501408099999999,,,,roma,museomurazetema.it,www.museiincomune.it,,porta s. sebastiano,670475284,,,,non mibact,670475284
Lazio,135,,,154.0,,,roma,museo della via ostiense,via r. persichetti 3,41.8767871,12.480911099999998,,,,roma,,,porta san paolo,,,,,,mibact,
Lazio,136,,,153.0,,,roma,terme di caracalla,via delle terme di caracalla 52,41.8800969,12.496205900000001,,,,roma,ssba rm.termecaracallabeniculturali.it,www.archeoroma.it,,,657174530,,,,mibact,657174520
Lazio,137,,,176.0,,,roma,museo storico didattico di giochi e giocattoli del 900 la memoria giocosa,via vincenzo coranelli 26/a,41.8851401,12.5336038,,,,roma,memoriagiocosalibero.it,,quartiere pigneto,,621700782,,,,non mibact,621700782
Lazio,138,,,185.0,,,roma,foro romano e palatino,largo romolo e remo,41.885739799999996,12.4848582,,,,roma,ssba rmbeniculturali.it,www.archeoroma.beniculturali.it,roma,,66787689,,,,mibact,6699841
Lazio,139,,,184.0,,,roma,case romane del celio,clivo di scauro,41.8864735,12.490630099999999,,,,roma,infocaseromane.it,www.caseromane.it,,sottostanti la basilica dei ss. giovanni e paolo,06 77201975,,,,non mibact,06 70454544
Lazio,140,,,153.0,,,roma,mausoleo ossario garibaldino,via garibaldi 29/e,41.8881886,12.4656043,,,,roma,francesca.bertozzicomune.roma.it,,,,667103833,,,,non mibact,667103407
Lazio,141,,,185.0,,,roma,museo storico della liberazione,via tasso 145,41.8887375,12.5064312,,,,roma,infomuseoliberazione.it,,,,677203514,,,,non mibact,67003866
Lazio,142,,,185.0,,,roma,museo storico della fanteria,piazza s. croce in gerusalemme 9,41.88891339999999,12.5141899,,,,roma,urppersomil.difesa.it museo fanteriaesercito.difesa.it,,,,67027971,,,,non mibact,67027971
Lazio,143,,,185.0,,,roma,museo nazionale degli strumenti musicali,piazza santa croce in gerusalemme 9/a,41.88891339999999,12.5141899,,,,roma,,,,,67029862,,,,mibact,67014796
Lazio,144,,,183.0,,,roma,museo di villa vecchia in villa doria pamphilj,via aurelia antica 183,41.8890951,12.4450986,,omr,,roma,,www.060608.it/it/cultura e svago/beni culturali/musei/museo di villa vecchia villa doria pamphilj.html,,villa doria pamphilj,06 39380994,,,,non mibact,06 39376616
Lazio,145,,,185.0,,,roma,museo storico granatieri di sardegna,piazza santa croce in gerusalemme 7,41.889095899999994,12.5155061,,,,roma,museostoricogranatierigmail.com,,,palazzina,,,,,non mibact,67028287
Lazio,146,,,153.0,,sistema musei in comune,roma,museo di roma in trastevere,piazza santegidio 1/b,41.889860600000006,12.468701800000002,,omr,,roma,museodiroma.trasteverecomune.roma.it,,convento carmelitano di santegidio,,65884165,,demos,,non mibact,65899359
Lazio,147,,,184.0,,,roma,anfiteatro flavio colosseo,piazza del colosseo,41.8899272,12.4941978,,,,roma,ssba rm.colosseobeniculturali.it,http//archeoroma.beniculturali.it,,,677400930,,,,mibact,677400920
Lazio,148,,,184.0,,,roma,museo di idraulica,via eudossiana 20,41.8927234,12.4926794,,,,roma,marco.marchettiuniroma1.it,www.musei.uniroma1.it/informamuseonew.aspid20,roma,facolt di ingeneria universit di roma la sapienza,644585094,,,,non mibact,644585084
Lazio,149,,,165.0,,,roma,galleria nazionale darte antica in palazzo corsini,via della lungara 10,41.89324179999999,12.4669323,,,,roma,sspsae rm.galleriacorsinibeniculturali.it,www.galleriacorsinibeniculturali.it,,palazzo corsini,668133192,,,,mibact,668802323
Lazio,150,,,165.0,,,roma,villa farnesina,via della lungara 230,41.8932984,12.467066099999998,,,,roma,farnesinalincei.it lapentalincei.it,www.villafarnesina.it,,,668027397,,,,non mibact,668027268
Lazio,151,,,184.0,,,roma,museo tipologico internazionale del presepio angelo stefanucci,via tor de conti 31/a,41.8937488,12.4878893,,,,roma,informazionepresepio.it,www.presepio.it,,c/o chiesa ss.quirico e giulitta,669789602,,,,non mibact,66796146
Lazio,152,,,186.0,,,roma,museo centrale del risorgimento,via s. pietro in carcere,41.89375220000001,12.4842507,,,,roma,ist.risorgimentotiscali.it,www.risorgimento.it,,complesso del vittoriano,66782572,,,,non mibact,66793598
Lazio,153,,,186.0,x,,roma,galleria spada,piazza capo di ferro 13,41.8943769,12.4718126,,,,roma,,,,palazzo spada,66861158,,,,mibact,66861158
Lazio,154,,,187.0,,sistema musei in comune,roma,museo dei fori imperiali nei mercati di traiano,via iv novembre 94,41.8961387,12.4856164,,omr,,roma,infomercatiditraiano.it,www.mercatiditraiano.it,,palazzo storico e complesso archeologico,669780532,,,,non mibact,669941020
Lazio,155,,,186.0,,,roma,museo nazionale del palazzo di venezia,via del plebiscito 118,41.8964079,12.4810964,,,,roma,sspsae rm.mpvbeniculturali.it,www.museopalazzovenezia.beniculturali.it,rione pigna,palazzo,669994394,,,,mibact,669994284
Lazio,156,,,186.0,,sistema musei in comune,roma,museo di scultura antica giovanni barracco,corso vittorio emanuele ii 166a,41.896804100000004,12.4727295,,omr,,roma,info.museobarraccocomune.roma.it,www.museobarracco.it,farnesina ai bauellari,palazzo storico,668806848,,,,non mibact,668806848
Lazio,157,,,186.0,,,roma,galleria doria pamphilj,via del corso 305,41.8974917,12.4814574,,,,roma,arti.rmdoriapamphilj.it,www.dopart.it,rione monti,palazzo doria pamphilj,66780939,,,,non mibact,66797323
Lazio,158,,,187.0,,sistema musei in comune,roma,museo di roma,piazza s.pantaleo 10,41.8975547,12.4727273,,omr,,roma,museodiromacomune.roma.it,www.museodiroma.it,palazzo braschi,palazzo braschi,667108303,,,,non mibact,667108312
Lazio,159,,,187.0,,,roma,museo delle cere,piazza santi apostoli 68a,41.8976424,12.4832809,,omr,,roma,museodellecere.romalice.it,www.museodellecereroma.com,,,66796482,,,,non mibact,66796482
Lazio,160,,,186.0,,,roma,museo del teatro argentina,piazza argentina 52,41.8976915,12.4763656,,omr,,roma,tania.renzicomune.roma.it,,largo di torre argentina,,667103833,,,,non mibact,667106017
Lazio,161,,,187.0,,,roma,casino dellaurora,via xxiv maggio 43,41.8982771,12.488022,,,,roma,aurorapallavicinisaita.it,www.casinoaurorapallavicini.it,roma,palazzo pallavicini,683467070,,,,non mibact,683467000
Lazio,162,,,186.0,,,roma,museo dellordine dei chierici regolari ministri degli infermi camilliani,piazza della maddalena 53,41.9001131,12.476685400000001,,,,roma,agmicamilliani.org e.martineztiscali.it,www.camilliani.org,,,689928133,,,,non mibact,6899281
Lazio,163,,,186.0,,,roma,museo donazione umberto mastroianni,piazza san salvatore in lauro 15,41.9008464,12.4693138,,,,roma,redazioneilcigno.org,,,musei di san salvatore in lauro,66892109,,,,non mibact,66865493
Lazio,164,,,186.0,,,roma,palazzo altemps,piazza di santapollinare 46,41.9012314,12.472857699999999,,,,roma,ssba rm.palazzoaltempsbeniculturali.it,http//archeoroma.beniculturali.it,,,66897091,,,,mibact,6684851
Lazio,165,,,193.0,,,roma,complesso monumentale s. spirito in saxia,borgo s. spirito 3,41.901442200000005,12.4614773,,,,roma,lancisianaasl rme.it,www.regione.lazio.it/biblioteche/lancisianaroma/,,,668352470,,,,non mibact,668352449
Lazio,166,,,187.0,,,roma,istituto nazionale per la grafica,via della stamperia 6,41.90153970000001,12.4834857,,,,roma,in g.ufficiostampabeniculturali.it,www.grafica.beniculturali.it,,fontana di trevi,669921474,,,,mibact,669980238
Lazio,167,,,186.0,,sistema musei in comune,roma,museo napoleonico,piazza di ponte umberto i 1,41.9016682,12.4721688,,omr,,roma,napoleonicocomune.roma.it,www.museonapoleonico.it,,palazzo primoli,,,,,non mibact,06 68806286
Lazio,168,,,185.0,,,roma,museo nazionale romano palazzo massimo alle terme,largo di villa peretti 1,41.9017823,12.498107800000001,,,,roma,,http//archeoroma.beniculturali.it/musei/museo nazionale romano palazzo massimo,,,06 4815563,,,,mibact,06 48020
Lazio,169,,,186.0,x,,roma,museo mario praz,via zanardelli 1,41.901886100000006,12.4718246,,,,roma,museoprazmuseopraz.191.it,www.museopraz.beniculturali.it,,,06 6861089,,,,mibact,06 6861089
Lazio,170,,,185.0,,,roma,museo storico della didattica mauro laeng,via milazzo 11 b,41.9021453,12.5043954,,,,roma,mus.diduniroma3.it,www.host.uniroma3.it/laboratori/museodidattica,roma,facolta scienze della formazione universita roma 3,,,,,non mibact,657339117
Lazio,171,,,193.0,,,roma,museo nazionale di castel santangelo,lungotevere castello,41.9024896,12.4659238,,,,roma,sspsae rm.santangelobeniculturali.it,www.castelsantangelo.beniculturali.it,,,668191196,,,,mibact,66819111
Lazio,172,,,184.0,,,roma,galleria nazionale darte antica in palazzo barberini,via quattro fontane 13,41.9025415,12.4897285,,,,roma,spsae rm.gnaabeniculturali.it,http//galleriabarberini.it,,palazzo barberini,64880560,,,,mibact,64824184
Lazio,173,,,185.0,,,roma,museo erbario dipartimento di biologia ambientale,piazzale aldo moro 5,41.9033594,12.515426,,,,roma,erbariouniroma1.it,www.musei.uniroma1.it/erbario/index.html,roma,c/o universit di roma sapienza,649912409,,,,non mibact,649912410
Lazio,174,,,185.0,,,roma,museo di paleontologia,piazzale aldo moro 5,41.9033594,12.515426,,,,roma,museo.paleouniroma1.it,www.dst.uniroma1.it/musei/museo paleontologia/index.htm,citt universitaria,c/o dipartimento di scienze della terra,06 4454729,,,,non mibact,649914315
Lazio,175,,,185.0,,,roma,museo di fisica,piazzale aldo moro 5,41.9033594,12.515426,,,,roma,fabio.sebastianiroma1.infn.it,www.phys.uniroma1.it/dipweb/museo/home.htm,universit di roma la sapienza,universita degli studi la sapienza dipartimento di fisica,64957697,,,,non mibact,649914334
Lazio,176,,,185.0,,,roma,museo di zoologia delluniversita la sapienza,piazzale aldo moro 5,41.9033594,12.515426,,,,roma,augusto.vignatagliantiuniroma1.it,,universit di roma la sapienza,citta universitaria,64958259,,,,non mibact,649914742
Lazio,177,,,185.0,,,roma,museo di geologia,piazzale aldo moro 5,41.9033594,12.515426,,,,roma,museo.geologiauniroma1.it,www.tetide.geo.uniroma1.it/musei/museo geologia/index.htm,universit di roma la sapienza,c/o dipartimento di scienze della terra,64463068,,,,non mibact,649914825
Lazio,178,,,185.0,,,roma,museo di mineralogia,piazzale aldo moro5,41.9033594,12.515426,,,,roma,musmin.romauniroma1.it,www.musmin.geo.uniroma1.it,universit di roma la sapienza,dipartimento scienze della terra,64454729,,,,non mibact,649914887
Lazio,179,,,185.0,,,roma,museo dellarte classica gipsoteca,piazzale aldo moro 5,41.9033594,12.515426,,,,roma,mariagrazia.picozziuniroma1.it,,,edificio ex facolta lettere universita di roma la sapienza,649913955,,,,non mibact,649913960
Lazio,180,,,187.0,,sistema musei in comune,roma,galleria darte moderna di roma capitale,via francesco crispi 24,41.9038672,12.4858498,,omr,,roma,infogalleriaartemodernaroma.it,www.galleriaartemodernaroma.it,roma,c/o ex convento carmelitane scalze sec. xviii,06 4742912,,,,non mibact,06 4742848
Lazio,181,,,187.0,x,,roma,casa museo giorgio de chirico,piazza di spagna 31,41.9056142,12.4827002,,omr,,roma,museumfondazionedechirico.org,www.fondazionedechirico.org,palazzetto dei borgononi,palazzetto dei borgognoni,66796546,,,,non mibact,66796546
Lazio,182,,,187.0,x,,roma,keats shelley house,piazza di spagna 26,41.90575379999999,12.4825272,,omr,,roma,infokeats shelley house.org,www.keats shelley house.org,,,66784167,,,,non mibact,66784235
Lazio,183,,,192.0,,,roma,museo storico dellarma dei carabinieri,piazza risorgimento n. 46,41.906259399999996,12.4591306,,,,roma,cgmuseodircarabinieri.it,www.carabinieri.it,,,66896696,,,,non mibact,66896696
Lazio,184,,,161.0,,,roma,museo di anatomia comparata,via alfonso borelli 50,41.906419899999996,12.515730099999999,,,,roma,luciana.solauniroma1.it,,universit di roma la sapienza,c/o universita degli studi la sapienza dipartimento di biologia e biotecnologie c. darwin sede di anatomi,64457516,,,,non mibact,649918009
Lazio,185,,,161.0,,,roma,museo di anatomia patologica,viale regina elena 324,41.9072432,12.513499900000001,,,,roma,pietro.gallouniroma1.it,www.musei.uniroma1.it/anatomiapatologica/index.html,roma,dipartimento di medicina sperimentale policlinico umberto i,64461484,,,,non mibact,64461484
Lazio,186,,,20.0,,,pisoniano,museo della canapa,via santa maria 27,41.9080287,12.957783300000001,,omr,,roma,,www.pisoniano.rm.gov.it/servizi/musei/museo della canapa,,,,,,sistema pre.gio,non mibact,0774 411316
Lazio,187,,,187.0,x,,roma,museo boncompagni ludovisi per le arti decorative costume e moda,via boncompagni 18,41.9087464,12.4952171,,,,roma,s gnam.museoboncompagnibeniculturali.it,,,,06 42824074,,,,mibact,06 42824074
Lazio,188,,,186.0,x,,roma,casa di goethe,via del corso 18,41.9090106,12.4771781,,omr,,roma,infocasadigoethe.it,www.casadigoethe.it,roma,palazzo bracci,632650449,,,,non mibact,632650412
Lazio,189,,,198.0,,sistema musei in comune,roma,museo darte contemporanea roma,via reggio emilia 54,41.9127277,12.502442199999999,,omr,,roma,macrocomune.roma.it,www.museomacro.org,ex convento delle carmelitane scalze a san giuseppe a capo le case,,68554090,,,,non mibact,6671070400
Lazio,190,,,161.0,,sistema musei in comune,roma,musei di villa torlonia casina delle civette,via nomentana 70,41.9133345,12.511711,,omr,,roma,mariagrazia.massafracomune.roma.it,www.museivillatorlonia.it,roma,villa torlonia,644250166,,,,non mibact,644250072
Lazio,191,,,161.0,,sistema musei in comune,roma,museo della scuola romana,via nomentana 70,41.9133345,12.511711,,omr,,roma,mariaitalia.zacheocomune.roma.it,www.museivillatorlonia.it,roma,villa torlonia / casino nobile,06 44252109,,,,non mibact,06 44252109/45472283
Lazio,192,,,161.0,,sistema musei in comune,roma,musei di villa torlonia casino nobile,via nomentana 70,41.9133345,12.511711,,omr,,roma,annapaola.agaticomune.roma.it,,roma,villa torlonia,644250166,,,,non mibact,644250072
Lazio,193,,,197.0,x,sistema musei in comune,roma,museo pietro canonica,viale pietro canonica 2,41.9142202,12.486271,,omr,,roma,biancamaria.santesecomune.roma.it,www.museocanonica.it,,la fortezzuola di villa borghese,685301384,,,,non mibact,68842279
Lazio,194,,,196.0,,,roma,museo dei bambini explora,via flaminia 80/86,41.915469099999996,12.474891699999999,,omr,,roma,ptomasichmdbr.it,www.2mdbr.it,roma,ex deposito atac,636086803,,,,non mibact,63613776
Lazio,195,,,161.0,x,,roma,istituto di studi pirandelliani,via antonio bosio 13b,41.9162577,12.5141843,,,,roma,postastudiodiluigipirandello.it,,roma,villino del ministero dello sviluppo economico,644291853,,,,non mibact,644291853
Lazio,196,,,195.0,,,roma,museo del videogioco vigamus,via sabotino 4,41.9167809,12.4596739,,omr,,roma,,www.vigamus.com,,,,,,,non mibact,06 4547 5940
Lazio,197,,,196.0,,,roma,galleria nazionale darte moderna e contemporanea,via delle belle arti 131,41.9170143,12.482134,,,,roma,s gnambeniculturali.it,www.gnam.beniculturali.it,,,63221579,,,,mibact,63221015
Lazio,198,,,162.0,,,roma,museo storico della guardia di finanza,piazza armellini 20,41.9183968,12.522342800000002,,,,roma,museostoricogdfgdf.it,www.gdf.it,roma,caserma g. di f.,64404805,,,,non mibact,644238841
Lazio,199,,,197.0,,sistema musei in comune,roma,museo civico di zoologia,via ulisse aldrovandi 18,41.919191399999995,12.488358999999999,,omr,,roma,info.museodizoologiaroma.it,www.museodizoologia.it,,,632650186,,,,non mibact,667109270
Lazio,200,,,195.0,,,roma,istituto storico e di cultura dellarma del genio,lungotevere della vittoria 31,41.923115100000004,12.4607131,,,,roma,istituto genioesercito.difesa.it,,,,63725446,,,,non mibact,63725446
Lazio,201,,,196.0,,,roma,maxxi museo nazionale delle arti del xxi secolo,via guido reni 4/a,41.928484600000004,12.466481300000002,,,,roma,segreteriafondazionemaxxi.it,www.fondazionemaxxi.it,roma,,632101839,,,,non mibact,063225178 32101838
Lazio,202,,,25.0,,,gerano,mostra permanente la casa delle antiche scatole di latta,via del palazzo 8,41.93316970000001,12.993706,,,,roma,scatolemarinahotmail.com,www.casadellescatole.org,,,,,,,non mibact,3487960033
Lazio,203,,,25.0,,,gerano,museo dellinfiorata,via del municipio 8,41.9568201,13.021326400000001,,,,roma,infogerano.comnet.roma.it,www.infioratadigerano.it,,,774798875,,,,non mibact,774798002
Lazio,204,,,189.0,x,,roma,museo venanzo crocetti,via cassia 492,41.9592351,12.454381300000001,,omr,,roma,museo.crocettitiscali.it,www.museocrocetti.it,roma,edificio di architettura contemporanea,633711468,,,,non mibact,633711468
Lazio,205,,,19.0,,,tivoli,museo didattico del libro antico,piazza trento 1,41.962109600000005,12.7969341,,omr,,roma,associazionefanniusgmail.com,www.mdbr.it,tivoli,villa deste,641204709,,,,non mibact,641204709
Lazio,206,,,53.0,,,cerveteri,museo nazionale archeologico cerite,piazza s.maria s.n.c,41.9989303,12.098905699999998,,,,roma,rita.cosentinobeniculturali.it,htpp//etruriameridionale.beniculturali.it,,,69940001,,,,mibact,69941354
Lazio,207,,,188.0,,,roma,villa di livia,via della villa di livia 1,42.000788799999995,12.4934285,,,,roma,,www.archeoroma.it,via flaminia km 1400,,,,,,mibact,633626826
Lazio,208,,,123.0,,,roma,area archeologica di veio santuario etrusco dellapollo,via riserva campetti,42.021080700000006,12.3888035,,,,roma,,,localit isola farnese portonaccio,,,,,,mibact,630890116
Lazio,209,,,23.0,,,arsoli,museo delle tradizioni musicali,corso borgo san bartolomeo 63,42.0409547,13.019278199999999,,omr,,roma,ecomuseoarsoligmail.com comune.arsoliltiscalinet.it,www.prolocodiarsoli.it/museo20tradizioni20musicali.htm,,complesso ex granaio massimo pian terreno.,774920313,,demos,sistema medaniene,non mibact,774920006
Lazio,210,,,58.0,,,santa marinella,antiquarium di pyrgi e area archeologica,,42.0584662,11.900578999999999,,,,roma,sba embeniculturali.it,,,castello di santa severa,766570194,,,,mibact,766570194
Lazio,211,,,60.0,,,formello,casolare 311 casa colonica e museo della civilta comtadina,via santi martiri 12,42.061485100000006,12.445273,,omr,,roma,museo.casolare311gmail.com,www.casolare311.it,perazzeta formello,casa colonica n. 311,690154548,,proust,,non mibact,69084255
Lazio,212,,,53.0,,,civitavecchia,museo archeologico nazionale,largo cavour 1,42.0911188,11.7927465,,,,roma,sba embeniculturali.it,www.151.12.58.164/etruria/index.phpit/138/museo archeologico nazionale di civitavecchia,centro storico,c/o ingresso area portuale,76623604,,,,mibact,76623604
Lazio,213,,,26.0,,,licenza,museo civico oraziano,piazza del palazzo 3,42.094637899999995,12.908997,,,,roma,licenza.licenzatin.it,,,,77446582,,,,non mibact,77446225
Lazio,214,,,53.0,,,civitavecchia,terme taurine o di traiano,via delle terme taurine,42.1099953,11.8360816,,,,roma,prolococivitavecchiainwind.it,www.prolococivitavecchia.it,localit terme taurine uscita civitavecchia nord,,76623604,,,,mibact,076623604 076620209
Lazio,215,,,63.0,,,campagnano di roma,museo civico archeologico di campagnano,corso vittorio emanuele ii 2,42.138897799999995,12.381161500000001,,,,roma,d.moretticomunecampagnano.it,,,palazzo venturi,690159308,,,,non mibact,69042924
Lazio,216,,,69.0,,,trevignano romano,museo civico etrusco romano,piazza vittorio emanuele iii 1,42.1561477,12.2463261,,omr,,roma,museocivicotrevignanoromano.it,www.trevignanoromano.it,,palazzo comunale,69999848,,,,non mibact,6999120201
Lazio,217,,,51.0,,,allumiere,museo civico adolfo klitsche de la grange,piazza della repubblica 29,42.1565334,11.9010675,,omr,,roma,museoallumieretiscali.it,www.digilander.libero.it/museoallumiere,allumiere,palazzo della reverenda camera apostolica,766967793,,resina,,non mibact,766967793
Lazio,218,,,1010.0,,,oriolo romano,palazzo altieri,piazza umberto i 1,42.15902379999999,12.138075099999998,,,,viterbo,,,,,699837145,,,,mibact,699837145
Lazio,219,,,2032.0,,,fara in sabina,museo del silenzio,santa maria in castello snc,42.2095728,12.7295977,,omr,,rieti,infomuseodelsilenzio.it,www.museodelsilenzio.it,fara sabina,,765277021,,musart,,non mibact,765277021
Lazio,220,,,1030.0,,,bassano romano,villa giustiniani odescalchi,piazza umberto i,42.2182424,12.1925906,,,,viterbo,,,centro storico,,0761 636065,,,,mibact,0761 636065
Lazio,221,,,60.0,,,nazzano,polo scientifico museale museo del fiume di nazzano,via mazzini 4,42.2286013,12.597138300000001,,omr,,roma,museodelfiumelibero.it,www.museodelfiume.it,nazzano,centro storico,0765 332710,,resina,,non mibact,0765 332002
Lazio,222,,,2033.0,,,monteleone sabino,museo civico archeologico trebula mutuesca,via lucio mummio 11,42.2343211,12.855987599999999,,omr,,rieti,museomonteleonesabinogmail.com,,monteleone sabino,municipio,765884340,,proust,,non mibact,765884014
Lazio,223,,,2034.0,,,montopoli di sabina,modern automata museum,via case nuove 7,42.235031899999996,12.682615,,omr,,rieti,infomodernautomatamuseum.com,www.modernautomatamuseum.com,granari,,765279559,,musart,,non mibact,765279821
Lazio,224,,,1015.0,,,sutri,museo del patrimonium,via di portavecchia 79,42.2410805,12.2245358,,omr,,viterbo,bibliocomune.sutri.vt.it,www.comune.sutri.vt.it/,sutri,ex palazzo della comunita,761601232,,,,non mibact,761600867
Lazio,225,,,1015.0,,,tarquinia,museo diocesano di civitavecchia tarquinia,via roma 11,42.2526729,11.7565463,,,,viterbo,insolera.giovannilibero.it,,,,,,,,non mibact,766840843
Lazio,226,,,1016.0,,,tarquinia,museo archeologico nazionale,piazza cavour 2,42.2533951,11.7551343,,,,viterbo,,htpp//etruriameridionale.beniculturali.it/index.phpit/132/museo archeologico nazionale tarquiniense,centro storico,,,,,,mibact,0761 856036
Lazio,227,,,1016.0,,,tarquinia,collezione giuseppe cultrera museo della ceramica della societa tarquiniense darte e storia,via delle torri 31,42.254213299999996,11.7572653,,,,viterbo,tarquiniensegmail.com,,,,766858194,,,,non mibact,766858194
Lazio,228,,,1033.0,,,civita castellana,museo archeologico dellagro falisco e forte sangallo,via del forte snc,42.2880258,12.4085077,,,,viterbo,,,,,0761 513735,,,,mibact,0761 513735
Lazio,229,,,2047.0,,,magliano sabina,museo civico archeologico,via sabina 19,42.36117479999999,12.4826261,,,,rieti,museo civico mslibero.it,www.soi.cnr.it/magliano/,magliano sabina,palazzo gori,744910001,,,,non mibact,744910001
Lazio,230,,,1100.0,,,viterbo,biblioteca s. giuseppe,viale a. diaz 25,42.41107879999999,12.1090121,,obr,,viterbo,biblioteca.sangiuseppeteologicoviterbese.it,,,istituto teologico s. pietro,761321026,,,,non mibact,761343134
Lazio,231,,,1100.0,,sistema museale urbano di viterbo,viterbo,museo della ceramica della tuscia,via cavour 67,42.4157087,12.106446,,omr,,viterbo,laboratorioceramicalibero.it,www.museodellaceramicadellatuscia.com,,,761223674,,musart,,non mibact,761346136
Lazio,232,,,1100.0,,sistema museale urbano di viterbo,viterbo,museo civico,piazza francesco crispi 2,42.417672700000004,12.1105913,,,,viterbo,museocivicocomune.viterbo.it,www.comuneviterbo.it link museocivico,viterbo,ex convento e chiostro della chiesa di s.maria della verit,761348276,,,,non mibact,761348276
Lazio,233,,,1017.0,,,tuscania,chiesa san pietro,,42.4185731,11.870308900000001,,,,viterbo,,,localit tuscania,,,,,,mibact,
Lazio,234,,,1017.0,,,tuscania,necropoli madonna dellolivo,,42.4185731,11.870308900000001,,,,viterbo,sba embeniculturali.it,htpp//etruriameridionale.beniculturali.it,localit madonna dellolivo,c/o chiesa di madonna dellolivo,,,,,mibact,
